ROI_n;ROI_glasser_1;ROI_glasser_full;ROI_glasser_2;Lobe;cortex
1;V1;Primary_visual_cortex;Visual;Occ;Primary_Visual
2;MST;Medial_superior_temporal_area;Visual;Occ;MT+_Complex_and_Neighboring_Visual_Areas
3;V6;Sixth_Visual_Area;Visual;Occ;Dorsal_Stream_Visual
4;V2;Second_Visual_Area;Visual;Occ;Early_Visual
5;V3;Third_Visual_Area;Visual;Occ;Early_Visual
6;V4;Forth_Visual_Area;Visual;Occ;Early_Visual
7;V8;Eighth_Visual_Area;Visual;Occ;Ventral_Stream_Visual
8;4;Primary_Motor_Cortex;Motor;Fr;Somatosensory_and_Motor
9;3b;Primary_Sensory_Cortex;Somatosensory;Par;Somatosensory_and_Motor
10;FEF;Frontal_Eye_Field;Premotor;Fr;Premotor
11;PEF;Premotor_Eye_Field;Premotor;Fr;Premotor
12;55b;Area_55b;Premotor;Fr;Premotor
13;V3A;Area_V3A;Visual;Occ;Dorsal_Stream_Visual
14;RSC;RetroSplenial_Complex;Retrosplenial;Par;Posterior_Cingulate
15;POS2;Parieto-Occipital_Sulcus_Area_2;POF;Occ;Posterior_Cingulate
16;V7;Seventh_Visual_Area;Visual;Occ;Dorsal_Stream_Visual
17;IPS1;IntraParietal_Sulcus_Area_1;IPS;Par;Dorsal_Stream_Visual
18;FFC;Fusiform_Face_Complex;Medial_Temporal;Temp;Ventral_Stream_Visual
19;V3B;Area_V3B;Visual;Occ;Dorsal_Stream_Visual
20;LO1;Lateral_Occipital_Area_1;Visual;Occ;MT+_Complex_and_Neighboring_Visual_Areas
21;LO2;Lateral_Occipital_Area_2;Visual;Occ;MT+_Complex_and_Neighboring_Visual_Areas
22;PIT;Posterior_InferoTemporal_Complex;Inferior_Temporal;Occ;Ventral_Stream_Visual
23;MT;Middle_Temporal_Area;Visual;Occ;MT+_Complex_and_Neighboring_Visual_Areas
24;A1;Primary_Auditory_Cortex;Primary_Auditory;Temp;Early_Auditory
25;PSL;PeriSylvian_Language_Area;Wernicke;Par;Temporo-Parieto_Occipital_Junction
26;SFL;Superior_Frontal_Language_Area;preSMA;Fr;Dorsolateral_Prefrontal
27;PCV;PreCuneus_Visual_Area;Precuneus;Par;Posterior_Cingulate
28;STV;Superior_Temporal_Visual_Area;Visual;Par;Temporo-Parieto-Occipital_Junction
29;7Pm;Medial_Area_7P;Superior_Parietal;Par;Superior_Parietal
30;7m;Area_7m;Precuneus;Par;Posterior_Cingulate
31;POS1;Parieto-Occipital_Sulcus_Area_1;POF;Par;Posterior_Cingulate
32;23d;Area_23d;PCC;Par;Posterior_Cingulate
33;v23ab;Area_Ventral_23_a+b;PCC;Par;Posterior_Cingulate
34;d23ab;Area_Dorsal_23_a+b;PCC;Par;Posterior_Cingulate
35;31pv;Area_31p_Ventral;PCC;Par;Posterior_Cingulate
36;5m;Area_5m;Superior_Parietal;Par;Paracentral_Lobular_and_Mid_Cingulate
37;5mv;Area_5m_ventral;Superior_Parietal;Par;Paracentral_Lobular_and_Mid_Cingulate
38;23c;Area_23c;PCC;Par;Paracentral_Lobular_and_Mid_Cingulate
39;5L;Area 5L;Superior_Parietal;Par;Paracentral_Lobular_and_Mid_Cingulate
40;24dd;Dorsal Area 24d;SMA;Fr;Paracentral_Lobular_and_Mid_Cingulate
41;24dv;Ventral Area 24d;SMA;Fr;Paracentral_Lobular_and_Mid_Cingulate
42;7AL;Lateral Area 7A;Superior_Parietal;Par;Superior_Parietal
43;SCEF;Supplementary_and_Cingulate_Eye_Field;preSMA;Fr;Paracentral_Lobular_and_Mid_Cingulate
44;6ma;Medial_6m_anterior;Premotor;Fr;Paracentral_Lobular_and_Mid_Cingulate
45;7Am;Medial_Area_7A;Superior_Parietal;Par;Superior_Parietal
46;7PL;Lateral_Area_7P;Superior_Parietal;Par;Superior_Parietal
47;7PC;Area_7PC;Superior_Parietal;Par;Superior_Parietal
48;LIPv;Area_Lateral_IntraParietal_ventral;IPS;Par;Superior_Parietal
49;VIP;Ventral_IntraParietal_Complex;IPS;Par;Superior_Parietal
50;MIP;Medial_IntraParietal_Area;IPS;Par;Superior_Parietal
51;1;Area_1;Somatosensory;Par;Somatosensory_and_Motor
52;2;Area_2;Somatosensory;Par;Somatosensory_and_Motor
53;3a;Area_3a;Somatosensory;Fr;Somatosensory_and_Motor
54;6d;Dorsal_area_6;Premotor;Fr;Premotor
55;6mp;Area_6mp;SMA;Fr;Paracentral_Lobular_and_Mid_Cingulate
56;6v;Ventral_Area_6;Premotor;Fr;Premotor
57;p24pr;Area Posterior 24;MCCa;Fr;Anterior_Cingulate_and_Medial_Prefrontal
58;33pr;Area_33_prime;MCCa;Fr;Anterior_Cingulate_and_Medial_Prefrontal
59;a24pr;Anterior_24_prime;MCCa;Fr;Anterior_Cingulate_and_Medial_Prefrontal
60;p32pr;Area_p32_prime;MCCa;Fr;Anterior_Cingulate_and_Medial_Prefrontal
61;a24;Area_a24;ACC;Fr;Anterior_Cingulate_and_Medial_Prefrontal
62;d32;Area_dorsal_32;DMPFC;Fr;Anterior_Cingulate_and_Medial_Prefrontal
63;8BM;Area_8BM;preSMA;Fr;Anterior_Cingulate_and_Medial_Prefrontal
64;p32;Area_p32;VMPFC;Fr;Anterior_Cingulate_and_Medial_Prefrontal
65;10r;Area_10r;VMPFC;Fr;Anterior_Cingulate_and_Medial_Prefrontal
66;47m;Area_47m;OFC;Fr;Orbital_and_Polar_Frontal
67;8Av;Area_8Av;DLPFC_POST;Fr;Dorsolateral_Prefrontal
68;8Ad;Area_8Ad;DLPFC_POST;Fr;Dorsolateral_Prefrontal
69;9m;Area_9_Middle;DMPFC;Fr;Anterior_Cingulate_and_Medial_Prefrontal
70;8BL;Area_8B_Lateral;DLPFC_POST;Fr;Dorsolateral_Prefrontal
71;9p;Area_9_Posterior;mid-DLPFC;Fr;Dorsolateral_Prefrontal
72;10d;Area_10d;Frontopolar;Fr;Orbital_and_Polar_Frontal
73;8C;Area_8C;DLPFC_POST;Fr;Dorsolateral_Prefrontal
74;44;Area_44;VLPFC_POST;Fr;Inferior_Frontal
75;45;Area_45;VLPFC_POST;Fr;Inferior_Frontal
76;47l;Area_47L;mid-VLPFC;Fr;Inferior_Frontal
77;a47r;Area_anterior_47R;mid-VLPFC;Fr;Inferior_Frontal
78;6r;Rostral_Area_6;Premotor;Fr;Premotor
79;IFJa;Area_IFJa;VLPFC_POST;Fr;Inferior_Frontal
80;IFJp;Area_IFJp;VLPFC_POST;Fr;Inferior_Frontal
81;IFSp;Area_IFSp;VLPFC_POST;Fr;Inferior_Frontal
82;IFSa;Area_IFSa;VLPFC_POST;Fr;Inferior_Frontal
83;p9-46v;Area_posterior_9-46v;mid-DLPFC;Fr;Dorsolateral_Prefrontal
84;46;Area_46;mid-DLPFC;Fr;Dorsolateral_Prefrontal
85;a9-46v;Area_anterior_9-46v;mid-DLPFC;Fr;Dorsolateral_Prefrontal
86;9-46d;Area_9-46d;mid-DLPFC;Fr;Dorsolateral_Prefrontal
87;9a;Area_9_anterior;mid-DLPFC;Fr;Dorsolateral_Prefrontal
88;10v;Area_10v;VMPFC;Fr;Anterior_Cingulate_and_Medial_Prefrontal
89;a10p;Area_anterior_10p;Frontopolar;Fr;Orbital_and_Polar_Frontal
90;10pp;Polar_10p;Frontopolar;Fr;Orbital_and_Polar_Frontal
91;11l;Area_11;OFC;Fr;Orbital_and_Polar_Frontal
92;13l;Area_13;OFC;Fr;Orbital_and_Polar_Frontal
93;OFC;Orbital_Frontal_Complex;OFC;Fr;Orbital_and_Polar_Frontal
94;47s;Area_47s;OFC;Fr;Orbital_and_Polar_Frontal
95;LIPd;Area_Lateral_IntraParietal_dorsal;IPS;Par;Superior_Parietal
96;6a;Area_6_anterior;Premotor;Fr;Premotor
97;i6-8;Inferior_6-8_Transitional_Area;Premotor;Fr;Dorsolateral_Prefrontal
98;s6-8;Superior_6-8_Transitional_Area;DLPFC_POST;Fr;Dorsolateral_Prefrontal
99;43;Area_43;Somatosensory;Fr;Posterior_Opercular
100;OP4;Area_OP4/PV;Somatosensory;Par;Posterior_Opercular
101;OP1;Area_OP1/SII;Somatosensory;Par;Posterior_Opercular
102;OP2-3;Area_OP2-3/VS;Vestibular;Par;Posterior_Opercular
103;52;Area_52;Posterior_Insula;Temp;Early_Auditory
104;RI;RetroInsular_Cortex;Posterior_Insula;Par;Early_Auditory
105;PFcm;Area_PFcm;PF;Par;Early_Auditory
106;PoI2;Posterior_Insular_Area_2;Posterior_Insula;Ins;Insular_and_Frontal_Opercular
107;TA2;Area_TA2;Secondary_Auditory;Temp;Auditory_Association
108;FOP4;Frontal_OPercular_Area_4;FOP;Fr;Insular_and_Frontal_Opercular
109;MI;Middle_Insular_Area;Anterior_Insula;Ins;Insular_and_Frontal_Opercular
110;Pir;Pirform_Cortex;Hippocampus;Temp;Insular_and_Frontal_Opercular
111;AVI;Anterior_Ventral_Insular_Area;Anterior_Insula;Fr;Insular_and_Frontal_Opercular
112;AAIC;Anterior_Agranular_Insula_Complex;Anterior_Insula;Ins;Insular_and_Frontal_Opercular
113;FOP1;Frontal_OPercular_Area_1;FOP;Fr;Posterior_Opercular
114;FOP3;Frontal OPercular;FOP;Ins;Insular_and_Frontal_Opercular
115;FOP2;Frontal_OPercular_Area_2;FOP;Fr;Insular_and_Frontal_Opercular
116;PFt;Area_PFt;PF;Par;Inferior_Parietal
117;AIP;Anterior_IntraParietal_Area;IPS;Par;Superior_Parietal
118;EC;Entorhinal_Cortex;Medial_Temporal;Temp;Medial_Temporal
119;PreS;PreSubiculum;Medial_Temporal;Temp;Medial_Temporal
120;H;Hippocampus;Hippocampus;Temp;Medial_Temporal
121;ProS;ProStraite_Area;Visual;Par;Posterior_Cingulate
122;PeEc;Perirhinal_Ectorhinal_Cortex;Medial_Temporal;Temp;Medial_Temporal
123;STGa;Area_STGa;Secondary_Auditory;Temp;Auditory_Association
124;PBelt;ParaBelt_Complex;Secondary_Auditory;Temp;Early_Auditory
125;A5;Auditory_5_Complex;Secondary_Auditory;Temp;Auditory_Association
126;PHA1;ParaHippocampal_Area_1;Hippocampus;Temp;Medial_Temporal
127;PHA3;ParaHippocampal_Area_3;Hippocampus;Temp;Medial_Temporal
128;STSda;Area_STSd_Anterior;STS;Temp;Auditory_Association
129;STSdp;Area_STSd_Posterior;STS;Temp;Auditory_Association
130;STSvp;Area_STSv_Posterior;STS;Temp;Auditory_Association
131;TGd;Area_TG_Dorsal;Temporal_Pole;Temp;Lateral_Temporal
132;TE1a;Area_TE1_Anterior;Inferior_Temporal;Temp;Lateral_Temporal
133;TE1p;Area_TE1_Posterior;Inferior_Temporal;Temp;Lateral_Temporal
134;TE2a;Area_TE2_Anterior;Inferior_Temporal;Temp;Lateral_Temporal
135;TF;Area_TF;Medial_Temporal;Temp;Medial_Temporal
136;TE2p;Area_TE2_Posterior;Inferior_Temporal;Temp;Lateral_Temporal
137;PHT;Area_PHT;PH;Temp;Lateral_Temporal
138;PH;Area_PH;PH;Temp;MT+_Complex_and_Neighboring_Visual_Areas
139;TPOJ1;Area_TemporoParietoOccipital_Junction_1;TPOJ;Temp;Temporo-Parieto-Occipital_Junction
140;TPOJ2;Area_TemporoParietoOccipital_Junction_2;TPOJ;Par;Temporo-Parieto-Occipital_Junction
141;TPOJ3;Area_TemporoParietoOccipital_Junction_3;TPOJ;Occ;Temporo-Parieto-Occipital_Junction
142;DVT;Dorsal_Transitional_Visual_Area;Visual;Occ;Posterior_Cingulate
143;PGp;Area_PGp;PG;Occ;Inferior_Parietal
144;IP2;Area_IntraParietal_2;IPS;Par;Inferior_Parietal
145;IP1;Area_IntraParietal_1;IPS;Par;Inferior_Parietal
146;IP0;Area_IntraParietal_0;IPS;Occ;Inferior_Parietal
147;PFop;Area_PF_Opercular;PF;Par;Inferior_Parietal
148;PF;Area_PF_Complex;PFG;Par;Inferior_Parietal
149;PFm;Area_PFm_Complex;PFG;Par;Inferior_Parietal
